Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,Cash2023,Age
Richaun Holmes,C,SAC,42,1,347,130,9,3,11,14,80,29,51,55,61.8,5,62.5,15,"$12,046,020 ",29
Meyers Leonard,C,MIL,27,6,339,129,3,6,0,18,102,36,66,42,144.9,21,116.7,24,$0 ,30
Chuma Okeke,PF,ORL,27,8,518,128,37,19,11,17,96,26,70,43,35.2,26,30.2,16,"$5,266,713 ",24
Udoka Azubuike,C,UTA,36,4,358,125,11,6,15,18,119,31,88,59,81.9,0,0,7,$0 ,23
Jae Crowder,SF,MIL,18,3,339,124,27,12,6,7,69,17,52,45,47.9,24,43.6,10,$0 ,32
Patrick Baldwin Jr.,SF,GSW,31,0,225,122,11,6,4,11,40,1,39,43,39.4,32,38.1,4,"$2,337,720 ",20
Kenneth Lofton Jr.,PF,MEM,24,1,175,120,20,5,2,12,51,19,32,49,52.7,6,35.3,16,"$1,719,864 ",20
Robin Lopez,C,CLE,37,2,298,112,19,2,8,25,51,23,28,48,64,2,50,14,"$3,196,448 ",34
Jake LaRavia,PF,MEM,35,0,414,105,21,12,4,18,63,19,44,37,38.9,24,33.8,7,"$3,199,920 ",21
Boban Marjanovic,C,HOU,31,0,171,102,9,5,2,14,60,20,40,41,68.3,0,0,20,$0 ,34
Kessler Edwards,SF,SAC,35,4,385,100,23,14,6,13,61,23,38,36,38.7,17,30.9,11,"$1,927,896 ",22
Cody Zeller,C,MIA,15,2,216,98,10,3,4,14,64,25,39,37,62.7,0,0,24,"$3,196,448 ",30
Frank Kaminsky,C,HOU,35,0,234,89,32,6,4,9,52,7,45,31,49.2,13,39.4,14,$0 ,29
Nikola Jovic,SF,MIA,15,8,204,82,10,7,2,10,31,9,22,28,40.6,8,22.9,18,"$2,352,000 ",19
Danny Green,SF,CLE,11,0,138,61,6,6,3,10,14,3,11,22,44.9,16,43.2,1,$0 ,35
Jonathan Isaac,PF,ORL,11,0,124,55,6,14,4,4,44,15,29,22,41.5,6,40,5,"$17,400,000 ",25
James Johnson,PF,IND,18,1,162,51,15,7,6,8,30,4,26,22,44.9,3,20,4,$0 ,35
Thanasis Antetokounmpo,SF,MIL,37,0,206,51,15,3,3,12,44,15,29,20,43.5,0,0,11,$0 ,30
Daniel Theis,C,IND,7,1,108,49,9,2,6,3,22,7,15,21,47.7,2,18.2,5,"$9,108,386 ",30
Josh Minott,SF,MIN,15,0,96,46,5,4,6,3,25,5,20,18,50,2,33.3,8,"$1,719,864 ",20
Otto Porter Jr.,SF,TOR,8,2,146,44,8,11,0,4,19,6,13,15,50,6,35.3,8,"$6,300,000 ",29
Alex Len,C,SAC,26,2,161,43,12,4,11,16,60,24,36,16,53.3,0,0,11,"$3,196,448 ",29
Khem Birch,C,SAS,20,0,161,43,7,5,5,8,25,8,17,19,59.4,1,50,4,"$6,985,000 ",30
Omer Yurtseven,C,MIA,9,0,83,40,2,2,2,4,23,8,15,16,59.3,3,42.9,5,$0 ,24
Xavier Cooks,PF,WAS,10,1,125,38,6,6,4,8,38,16,22,17,60.7,0,0,4,"$1,719,864 ",27
Cody Martin,SF,CHA,7,0,133,35,11,4,1,2,24,8,16,14,38.9,3,21.4,4,"$7,560,000 ",27
Udonis Haslem,PF,MIA,7,1,70,27,0,1,2,1,11,4,7,10,34.5,3,33.3,4,$0 ,42
Joe Wieskamp,SF,TOR,27,0,147,27,9,0,0,3,12,0,12,9,64.2,9,75,0,"$1,927,896 ",0
Tyrese Martin,SF,ATL,16,0,65,21,2,1,0,2,12,5,7,9,39.1,1,14.3,2,"$1,719,864 ",23
Andre Iguodala,SF,GSW,8,0,112,17,19,4,3,9,17,3,14,7,46.7,1,11.1,2,$0 ,39
Xavier Sneed,SF,CHA,4,0,48,17,5,0,1,3,5,0,5,5,50,3,50,4,$0 ,25
Isaiah Todd,PF,WAS,6,1,61,9,4,1,0,2,12,2,10,3,15.8,1,10,2,"$1,836,096 ",21
Chance Comanche,C,POR,1,0,20,7,0,0,1,0,3,2,1,3,60,0,0,1,$0 ,26
Vernon Carey Jr.,C,UTA,11,0,28,6,3,2,2,2,11,3,8,2,25,0,0,2,$0 ,21
Marko Simonovic,C,CHI,7,0,19,6,0,0,0,0,2,1,1,2,28.6,1,25,1,$0 ,23
Dylan Windler,SF,CLE,3,0,10,5,1,1,0,1,0,0,0,2,66.7,1,50,0,$0 ,26
Danilo Gallinari,PF,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$6,802,950 ",34
Tristan Thompson,C,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,31
Willie Cauley-Stein,C,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,29
Chet Holmgren,C,OKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$10,386,000 ",20
